id,name,region,category,lat,lng,has_image,image_source,image_url,image_thumbnail,image_page,image_title,image_verified,image_verification_score,image_verification_max,image_rejected_count,image_was_new,image_reject_reasons,v1_license,v2_metadata,v3_safe,v4_gps,v5_vision
p522,Østre Vikbutjønna,Innlandet,lake,61.78205,11.67043,False,,,,,,False,0,5,0,False,,,,,,
p523,Mefjellsvatnet,Innlandet,lake,61.56271,7.94665,False,,,,,,False,0,5,0,False,,,,,,
p524,Guttormstjønne,Innlandet,lake,61.8143,9.47826,False,,,,,,False,0,5,0,False,,,,,,
p525,Kummen,Vestland,lake,61.55961,7.94366,False,,,,,,False,0,5,0,False,,,,,,
p526,Røykeskålvatnet,Innlandet,lake,61.79297,7.65828,False,,,,,,False,0,5,0,False,,,,,,
p527,Litlslættestjønna,Trøndelag,lake,62.72369,9.91428,False,,,,,,False,0,5,0,False,,,,,,
p528,Krongeltjørni,Vestland,lake,61.56773,7.93792,False,,,,,,False,0,5,0,False,,,,,,
p529,Stabbeskaret,Møre og Romsdal,viewpoint,62.47473,7.73757,False,,,,,,False,0,5,0,False,,,,,,
p530,Soggebrua,Møre og Romsdal,viewpoint,62.53278,7.73679,False,,,,,,False,0,5,0,False,,,,,,
p531,Korsmyra,Møre og Romsdal,viewpoint,62.1352,7.18524,False,,,,,,False,0,5,0,False,,,,,,
p532,Krunesfossen,Vestland,viewpoint,61.76723,7.03547,False,,,,,,False,0,5,0,False,,,,,,
p533,Bålhuset,Møre og Romsdal,viewpoint,63.00235,7.28089,False,,,,,,False,0,5,0,False,,,,,,
p534,Ørnesvingen,Møre og Romsdal,viewpoint,62.12625,7.16674,False,,,,,,False,0,5,5,False,MS Nordstjernen 01.jpg: L1: Unknown or restricted license: cc by 2.0; Nordstjernen DSC 0394.jpg: L1: Unknown or restricted license: cc by 2.0; MSC Splendida in Geirangerfjorden 20150604 1.jpg: L1: Unknown or restricted license: cc by-sa 4.0,,,,,
p535,Kleivahammaren,Møre og Romsdal,viewpoint,62.23082,7.15861,False,,,,,,False,0,5,0,False,,,,,,
p536,Irmahytta,Trøndelag,viewpoint,63.44249,11.07819,False,,,,,,False,0,5,0,False,,,,,,
